post_id,user_id,post_content,post_time,start_time,end_time,is_deleted,is_current,partition_date
101,101001,"SQL sucks, but it's useful.",2024-08-24 09:15:00,2024-08-24 09:15:00,2024-08-24 10:15:00,TRUE,FALSE,2024-08-24
102,102002,"Loving the challenge SQL brings.",2024-08-24 11:30:00,2024-08-24 11:30:00,2024-08-25 12:30:00,TRUE,FALSE,2024-08-24
103,103003,"SQL sucks when it gets tricky.",2024-08-24 14:00:00,2024-08-24 14:00:00,,FALSE,TRUE,2024-08-24
104,104004,"SQL is getting easier.",2024-08-24 12:20:00,2024-08-24 12:20:00,2024-08-24 13:20:00,TRUE,FALSE,2024-08-24
105,105005,"Mastering SQL one step at a time.",2024-08-24 10:05:00,2024-08-24 10:05:00,,FALSE,TRUE,2024-08-24
106,106006,"SQL sucks for beginners.",2024-08-24 13:45:00,2024-08-24 13:45:00,2024-08-24 14:45:00,TRUE,FALSE,2024-08-24
107,107007,"Writing SQL all day.",2024-08-24 16:25:00,2024-08-24 16:25:00,,FALSE,TRUE,2024-08-24
108,108008,"SQL sucks when deadlines loom.",2024-08-24 15:10:00,2024-08-24 15:10:00,,FALSE,TRUE,2024-08-24
109,109009,"SQL is my daily grind.",2024-08-24 09:55:00,2024-08-24 09:55:00,2024-08-25 19:59:00,TRUE,FALSE,2024-08-24
110,110010,"SQL sucks for performance tuning.",2024-08-24 11:40:00,2024-08-24 11:40:00,2024-08-24 12:40:00,TRUE,FALSE,2024-08-24
111,111011,"SQL queries every hour.",2024-08-24 13:05:00,2024-08-24 13:05:00,,FALSE,TRUE,2024-08-24
112,112012,"SQL sucks, but I'm improving.",2024-08-24 14:50:00,2024-08-24 14:50:00,,FALSE,TRUE,2024-08-24
113,113013,"Learning SQL step by step.",2024-08-24 10:25:00,2024-08-24 10:25:00,2024-08-25 15:35:00,TRUE,FALSE,2024-08-24
114,114014,"SQL sucks for nested queries.",2024-08-24 12:10:00,2024-08-24 12:10:00,,FALSE,TRUE,2024-08-24
115,115015,"SQL problems all day long.",2024-08-24 15:35:00,2024-08-24 15:35:00,,FALSE,TRUE,2024-08-24
116,116016,"SQL sucks, but it's a good skill.",2024-08-24 14:15:00,2024-08-24 14:15:00,2024-08-24 15:15:00,TRUE,FALSE,2024-08-24
117,117017,"SQL scripting made easy.",2024-08-24 11:20:00,2024-08-24 11:20:00,,FALSE,TRUE,2024-08-24
118,118018,"SQL sucks, but I need it.",2024-08-24 16:50:00,2024-08-24 16:50:00,,FALSE,TRUE,2024-08-24
119,119019,"Another day, another SQL query.",2024-08-24 10:50:00,2024-08-24 10:50:00,2024-08-24 11:50:00,TRUE,FALSE,2024-08-24
